nro_conabip,id_departamento,mail,fecha_fundacion
413,82091,gorositodaniela@hotmail.com,1910-12-10
414,82056,biblioteca.br@gmail.com,1920-04-22
416,82084,,1919-06-08
417,82105,,1912-10-01
419,82028,,1919-05-25
420,82105,bibliotecagalvez@cablenet.com.ar,1905-02-21
422,82133,,1907-05-01
424,82028,bibliotecajbmolina@gmail.com,1918-02-10
426,82049,biblioteca@malabrigo.com,1922-03-16
427,82091,,1913-03-10
429,82119,,1920-11-14
430,82084,,1918-07-09
440,82084,,
442,82084,,
455,82063,bibliomitre0455@yahoo.com.ar,1907-06-03
460,82091,bibliotecapop_sancristobal@hotmail.com,1910-12-03
461,82070,,1911-08-06
462,82070,bibliogkellerscs@hotmail.com,
463,82063,dgsilva23@hotmail.com,1918-07-20
466,82105,,1918-08-25
467,82028,bpmanuelbelgrano@hotmail.com,1980-01-01
468,82028,mariaperrissol@gmail.com,
469,82042,biblioameghino@powervt.com.ar,1930-01-01
470,82084,bibliocgspano@msn.com,1917-10-12
472,82021,,1919-06-04
473,82126,bibliomarmol@live.com,1917-12-17
475,82028,,1918-03-10
476,82105,biblalcacer@hotmail.com,1919-10-19
479,82028,bibliotecapeylsp@yahoo.com.ar,1917-07-04
481,82028,bibliopeyrano@gmail.com,1920-10-12
483,82084,bibpopee@yahoo.com.ar,1911-01-06
487,82063,biblioteca_moreno@yahoo.com.ar,1912-12-04
488,82042,bibliopopular488@hotmail.com,1917-08-26
489,82119,,1918-04-28
490,82077,biblioteca9dejulio@tostado.com.ar,1980-01-01
491,82042,,1915-07-09
492,18007,,1901-04-18
494,18021,,
495,18021,biblioctesmagda@hotmail.com,1980-01-01
501,18070,bpsarmientogoya@gmail.com,1911-11-11
502,18063,bibliotecapopularrivera@hotmail.com,1914-01-01
504,18063,,1980-01-01
506,18112,biblio506@hotmail.com,1909-10-30
509,18105,literariabelgrano@gmail.com,1910-09-11
511,18119,bsarmiento@arnet.com.ar,1904-10-19
512,18168,biblioteca512@hotmail.com,1980-01-01
517,18035,acyacbpr@gmail.com,1914-10-25
522,18161,,1914-06-13
523,18175,,1918-06-09
527,14161,,1926-07-03
528,14182,bprjcarcano@yahoo.com.ar,1907-04-21
534,14014,,1909-05-11
539,14028,,1917-05-01
543,14042,,1916-05-05
544,14084,bibliotecaflorentinoameghino@hotmail.com,1914-07-14
545,14035,b.sarmiento@hotmail.com,1919-10-22
547,14021,,1912-07-12
549,14084,,1913-10-12
555,14098,,1910-07-10
560,14140,bibliotecapopularycc@gmail.com,1926-08-05
567,14042,secretaria_gral@bibliotecarivadavia.edu.ar,1904-09-25
581,14140,bisarlasvarillas@gmail.com,1918-07-09
582,14042,,1919-04-09
584,14098,,1918-03-31
586,14182,bibliommm@yahoo.com.ar,1917-07-14
588,14098,bibliosarmiento1915@yahoo.com.ar,1915-07-09
595,74035,,1914-01-14
596,74007,,1910-09-11
599,74007,,1910-10-30
601,74035,,1980-01-01
603,74028,mario_saulsosa@hotmail.com,1916-05-25
608,74049,bibliopop@live.com,1915-05-23
611,74014,,1916-06-27
612,86077,pedrourquizanqn@hotmail.com,1919-10-12
615,86028,,1916-06-09
616,86063,,1908-10-11
619,86035,,1910-05-25
621,86049,bibliotecasociedadsarmiento@hotmail.com,
624,86035,,1929-05-25
634,90077,,1911-02-10
635,90021,,1980-01-01
640,90035,,1921-10-12
642,90070,sociedadybibliotecamitre@yahoo.com.ar,1906-07-19
644,90084,bipopalberdi100@hotmail.com,1903-06-26
645,90084,,1905-07-18
651,90112,,1912-11-20
652,90042,,1912-06-02
661,90056,,1926-09-12
665,50021,ifsapaag@hotmail.com,1914-05-10
676,50105,,1919-03-30
689,50098,bibliopop.julioaroca@gmail.com,1980-01-01
692,50084,bip692@hotmail.com,1915-05-30
700,70028,,1910-09-04
702,70056,,1908-08-15
704,70028,,
707,70098,,1910-09-30
709,70091,,1916-03-20
713,70035,,1918-04-03
714,70119,bibliovallefertil@hotmail.com ,
716,46042,biblioteca026@gmail.com,1903-09-22
718,46014,bibliotecamarianomoreno@gmail.com,
719,46014,,1914-02-01
723,46063,,1908-12-15
724,46007,,1915-04-28
725,46035,enriquealbertostoller@hotmail.com,1921-06-13
726,46049,,1914-10-24
729,10021,,
730,10042,bibliochum@yahoo.com.ar,1980-01-01
740,10042,,1912-02-22
742,10091,,1912-10-28
749,10035,,1916-04-16
752,66035,,1910-06-06
753,66140,,
760,66112,,1916-09-23
763,38014,bibliotecadomingotperez@gmail.com,1905-04-09
766,38021,bibpojuj@imagine.com.ar,
769,38028,,1906-05-25
770,38035,,1911-06-05
771,38063,,1911-09-07
772,38112,,1911-08-31
774,38112,,1915-07-09
779,22140,biblio80rivadavia@yahoo.com.ar,1909-09-18
780,22140,,1901-10-20
783,22140,bibliommoreno@hotmail.com,1980-01-01
787,34014,,1910-06-25
790,54035,,1911-06-02
793,54028,bibposadas@arnetbiz.com.ar,1913-12-13
802,54021,,1979-10-18
803,54098,,1910-05-02
805,42133,bibmartini@hotmail.com,1919-07-07
806,42070,sonirack77@yahoo.com.ar,1921-02-03
808,42105,bibliotecaestrada@yahoo.com,1912-11-30
811,42133,,1910-05-01
815,42098,bibliorica@yahoo.com.ar,1905-06-04
816,42119,bpraulbdiaz@yahoo.com.ar,1911-07-01
819,42035,bibliosm@cospec.com.ar,1932-12-03
823,42126,biblioquetre@cernet.com.ar,1915-06-27
824,58042,bibliotecaolascoaga_chosmalal@yahoo.com.ar,1980-01-01
826,58056,bp9jul@smandes.com.ar,1917-11-04
827,58112,,1916-05-12
829,62028,bibliotecageneralconesa@gmail.com,1905-02-28
830,62007,biblioteca.mitre@yahoo.com.ar,1906-01-31
832,62014,bibliotecachoelechoel@yahoo.com.ar,1918-10-01
859,82028,bibliotecabombal@bombal.net.ar,1921-05-29
860,6840,bpmoreno@hotmail.com,1920-11-11
861,6252,alberdibiblio@yahoo.com.ar,1929-07-09
862,10084,,1918-08-18
864,14119,,1980-01-01
870,14014,biblialberdi@yahoo.com.ar,1911-09-11
873,14161,,1919-09-14
876,82126,bipsm@sme.com.ar,1919-06-02
883,42077,biblioteca_adelvalle@hotmail.com,1923-01-01
886,30098,bluzobrera1919@yahoo.com.ar,1919-08-23
897,42140,bibliotecatoay@cpenet.com.ar,1921-11-21
898,6638,bibliotecapilar@yahoo.com.ar,1922-03-12
901,42154,biflora.me@hotmail.com,1922-02-22
906,82105,,1922-02-20
908,90014,,1920-05-16
911,6035,,1922-05-14
913,38035,,1922-02-10
914,6882,cpcultura@hotmail.com,1922-01-17
916,42133,margaretsos@hotmail.com,1920-07-09
925,82112,bibliotecagcrespo@hotmail.com.ar,1922-07-15
935,82021,,1922-08-04
938,6854,,1922-10-02
945,82070,bibliohumboldt@arnet.com.ar,1922-05-25
947,2000,bpcienciaylabor@gmail.com,1918-05-25
957,6805,,1916-09-16
966,6819,bibliotecatornquist@yahoo.com.ar,1917-04-01
967,62014,elarteesrealidad@yahoo.com.ar,1980-01-01
973,82056,amigosdelabibliotecasarmiento@gmail.com,1920-04-18
982,82084,bibliotecaamoralestudio@hotmail.com,1922-12-24
985,82126,bmitre24@yahoo.com.ar,1924-05-25
987,74035,mariel_ra19@live.com.ar,1937-05-02
991,82112,biblioteca@sanjustosf.com.ar,1919-11-25
992,22140,bipisarello@yahoo.com.ar,1923-12-13
997,6778,bpsarkorn@yahoo.com.ar,1923-04-08
1001,78021,,1959-09-13
1002,6140,bpalmafuerte@hotmail.com,1923-05-21
1007,86049,,1980-01-01
1014,82049,,1921-03-13
1016,82063,bibpop@santafe-conicet.gov.ar,1915-05-24
1019,6861,,1921-10-09
1020,10077,,1921-11-02
1021,6063,bibliotecapizzurno@yahoo.com.ar,1923-12-01
1024,82042,,1924-07-09
1028,6840,lamitredecaseros@gmail.com,1921-07-24
1035,82014,,1914-01-14
1041,82119,c3biblpizzurno1@yahoo.com.ar,1924-08-03
1045,10035,,1924-09-24
1053,10105,,1924-07-24
1054,6413,,1923-04-12
1062,6014,bipobrchaves@yahoo.com.ar,1925-05-10
1063,82084,,1922-04-05
1070,18021,,1925-03-28
1071,14091,,1923-05-06
1078,18021,bpjcontte1078@yahoo.com.ar,1923-01-01
1081,86049,,1925-05-30
1083,82063,bibalberdilp@hotmail.com,1925-05-25
1093,82084,bibaristobulo@yahoo.com.ar,1925-01-01
1116,82042,,1925-08-25
1119,82126,bibliotecacdarosquin@velosat.com.ar,1924-08-05
1131,2000,bibliomorris@hotmail.com,1907-11-07
1135,82112,,1922-07-15
1138,82014,,1917-04-19
1144,82070,bibliopopular@hotmail.com,1926-04-10
1145,82056,,1924-07-19
1152,82119,bibliotecasarmiento@arnet.com.ar,1917-09-30
1170,90105,,1923-05-17
1175,82042,bibliopoprmunijoseingenieros@gmail.com,1913-05-01
1176,14140,,1923-11-11
1178,6371,bibliotecarivadavia@yahoo.es,1925-07-09
1179,86077,bibsarmientoanatuya@hotmail.com,1922-07-01
1180,94014,,1926-11-08
1187,2000,bibliotecapueyrredonsud@gmail.com,1920-03-21
1188,82021,,1998-02-20
1191,6840,biblioalmafuerte@hotmail.com,1926-10-12
1193,6483,bibliocapponi@yahoo.com.ar,1902-01-12
1194,6791,,1919-06-06
1198,38056,silvio_valencia@hotmail.com,1926-05-26
1201,30056,,1927-04-24
1204,86049,bpaalvarez@hotmail.com,1926-11-15
1228,6770,bibliotecadfsarmiento@gmail.com,1927-04-28
1232,6469,,1926-08-06
1242,6371,bpalberdi@gmail.com,1927-02-23
1246,6602,bibpopcervantes@yahoo.com.ar,1927-10-12
1248,6406,bibliopopalmafuerte@yahoo.com.ar,1922-06-14
1251,30008,fabricacolon@hotmail.com,1905-07-26
1256,50056,bibliotecatomasgcruzcosta@hotmail.com,1926-08-29
1257,6497,bibliotecaopendoor@hotmail.com,1926-05-10
1259,82084,,1927-08-04
1260,38094,,1910-05-26
1264,86035,,1927-06-24
1265,82084,biblioteca25demayo@gmail.com,1980-01-01
1266,6134,bibliotecapopulardfsarmiento@hotmail.com,1927-07-01
1276,50105,bibliotecafranciscopenasco@yahoo.com.ar,1926-11-26
1278,6007,ccibiblio@hotmail.com,1925-01-01
1280,6091,bpmbelgrano@hotmail.com,1924-08-04
1299,6833,catriel_h@hotmail.com,1927-08-27
1303,62021,secretaria@bibliotecasarmiento.com.ar,1928-03-21
1309,6581,joseestrada@arnet.com.ar.,1926-04-03
1311,18112,,1928-05-01
1312,6189,,1928-05-24
1319,82042,,1928-07-01
1326,6455,,1928-08-12
1342,58035,bibliotecajbalberdi@gmail.com,1928-11-10
1344,2000,trjgonzalez@outlook.com,1928-03-30
1345,46014,bmarcelinoreyes@gmail.com,1980-01-01
1347,6189,biblioameghino@altisa.com.ar,1928-12-05
1349,70084,,1929-02-25
1351,2000,susanapariani@hotmail.com,1928-12-20
1361,86161,,1928-01-02
1364,50014,bibliotecadeoeste@hotmail.com ,1928-08-05
1366,66049,sarmientobp1366@gmail.com,1928-11-08
1373,18042,,1911-09-11
1375,2000,bibliotecabecciu@gmail.com,1915-10-01
1377,10091,,1928-09-23
1381,6210,,1907-01-01
1388,6833,marialemorcillo@gmail.com,1930-05-10
1391,6560,,1929-07-21
1395,82126,,1929-05-01
1399,82028,,1929-12-26
1403,14049,bibliotecamm2013@gmail.com,1929-11-03
1408,82021,bpmoreno1408@yahoo.com.ar,1929-10-27
1412,6413,,1928-10-05
1419,14182,,1929-08-04
1426,78014,,1927-03-08
1452,6623,,1929-09-11
1454,6413,,1930-02-04
1464,62063,,1930-05-04
1465,6056,bibliomarianomorenoiw@gmail.com,1925-08-24
1469,6070,,
1472,82042,bibliosancti@coopsancti.com.ar,1930-02-04
1477,42126,bibliotecacaleufu@yahoo.com.ar,1930-07-27
1478,6105,cultural_07@yahoo.com.ar,1926-05-26
1483,6441,,1915-10-01
1489,90084,,1929-02-02
1497,86147,juanaro66@hotmail.com,1917-10-06
1499,42056,bibliovertiz@yahoo.com.ar,1929-11-14
1500,14098,juanbalberdi1500@yahoo.com.ar,1930-08-24
1502,6784,bibliotecaymuseo@yahoo.com.ar,1930-09-26
1509,42098,biblio_mb_luantoro@hotmail.com,1931-05-11
1510,70028,,1918-05-23
1522,62091,bibliotecapopularjacobacci@yahoo.com.ar,1931-05-10
1530,18105,bibliotecasarmientomercedes@gmail.com,1909-11-01
1541,14147,bibliotecapopular4@gmail.com,1931-03-11
1547,18112,,1931-08-02
1554,6021,eleana_1983@hotmail.com,1925-01-01
1555,42105,almafuerte_1555@yahoo.com.ar,1931-07-26
1556,42147,biblioarata@yahoo.com.ar,1931-08-16
1576,50105,bibpop1576@yahoo.com.ar,1932-06-19
1582,82042,aliciamargalida2002@yahoo.com.ar,1931-10-15
1599,82014,bpmitrearequito@gmail.com,1932-03-15
1600,82007,bibliotortugas@hotmail.com,1930-06-07
1611,90028,,1932-03-23
1615,30084,bporientacion@arnet.com.ar,1932-02-21
1620,6245,,1932-06-18
1627,6791,,1932-06-01
1633,6609,,1931-12-03
1646,42035,popularsarmiento@yahoo.com.ar,1932-05-15
1647,14147,labpdealtagracia@gmail.com,1932-01-26
1654,82021,,1931-09-27
1658,90105,,1928-09-15
1659,14021,bibliotecapopularlabicicleta@gmail.com,1932-05-18
1662,86049,bibliounzaga@yahoo.es,1930-04-20
1663,6056,bibliotecabmitre@yahoo.com.ar,1922-04-10
1665,86049,,1927-07-14
1673,6252,bp20dediciembre@gmail.com,1932-09-25
1676,6119,,1932-05-25
1680,82028,aropalo@yahoo.com.ar,1932-05-03
1684,6469,bibliobayauca@hotmail.com,1932-06-12
1695,62042,,1932-09-29
1701,62021,bibliotecasarmiento@elbolson.com,1932-12-11
1706,6434,bibprimerodemayo@hotmail.com,1914-12-13
1707,6294,,1932-10-12
1710,6581,,1932-09-11
1724,82042,,1932-08-25
1729,70070,,1932-10-10
1733,6260,,1932-09-01
1743,6623,bibliomo@hotmail.com,1926-12-01
1747,6441,,1927-12-27
1749,82035,,1980-01-01
1756,14098,bibatelleria@hotmail.com,1929-04-18
1758,14063,juanbenitzbiblioteca@gmail.com,1917-10-07
1766,42126,bibrancul452@hotmail.com,1932-10-20
1769,6105,bpurdampilleta@yahoo.com.ar,1933-07-21
1770,6182,bibjbalberdi@gmail.com,1933-02-19
1771,82063,,1929-01-01
1775,46021,,1927-11-27
1789,82007,bpsarmientoarmstrong@yahoo.com.ar,1931-10-18
1793,2000,,1932-11-15
1799,90070,bpcnv@yahoo.com.ar,1929-06-02
1800,82084,bibliotecajmalet@gmail.com,1932-02-28
1805,46021,,1934-10-24
1808,82028,binioro@gmail.com,1917-01-01
1809,6413,biblioteca9dejulio@gmail.com,1933-06-02
1819,26077,bpaatw@gmail.com,1934-07-08
1824,14140,bibliotecapopularjifreyre@gmail.com,1934-04-28
1825,66056,,1933-06-18
1827,74035,evelynbcrr9@gmail.com,1934-04-18
1828,66056,,1934-10-01
1830,6441,,1903-10-12
1837,14182,atleticopascanas@yahoo.com.ar,1931-01-01
1838,82126,bpsme@sme.com.ar,1934-08-19
1843,2000,bibliotecabelisarioroldan@yahoo.com.ar,1980-01-01
1850,6588,,1933-10-12
1851,90084,,1934-09-24
1857,6112,,1926-05-01
1863,86147,,1980-01-01
1864,6098,bibliopopularpestalozzi@gmail.com,1935-07-09
1867,14091,bibliotecapopularsarmiento@yahoo.com.ar,1934-04-21
1872,14049,bjingenieros@intinet.com.ar,1933-02-06
1874,6413,armando_de_miguel@hotmail.com,1929-02-19
1880,6427,bibliomoreno@yahoo.com.ar,1930-04-18
1883,6175,,1920-04-24
1885,62042,,1935-12-19
1887,70028,,1935-11-24
1898,70105,,1935-06-15
1913,18049,,1915-06-21
1918,18112,,1929-08-30
1920,6441,bibpopmarianomoreno@hotmail.com,1936-07-11
1921,6778,,1936-05-03
1924,82091,bpsarmiento.suardi@gmail.com,1933-12-19
1936,82007,bibliotecamdeoca@redcrs.com.ar,1934-08-12
1943,2000,bibliotecabrivadavia@yahoo.com.ar,1924-04-21
1945,42105,biblioamartello@hotmail.com,1937-04-01
1947,82084,,1926-01-26
1952,82042,biblioteca_chovet@hotmail.com,1937-06-13
1957,18056,bibliotecapopularalvear@hotmail.com,1936-07-09
1970,82126,bpsm1970@gmail.com,1937-04-29
1973,6441,,1927-08-03
1975,2000,,1916-03-01
1977,6623,,1933-07-09
1988,6658,,1932-08-21
1989,82084,,1936-12-27
1990,42007,bibliorolon@gmail.com,1914-11-23
1991,2000,,1929-02-01
1993,46021,,1933-09-03
1994,82042,,1938-04-15
1997,46126,,1935-10-01
1998,6525,bibliopop.gsm@gmail.com,1936-09-12
2004,82084,bibliotecaalberdi@hotmail.com,1935-05-25
2005,82084,bibliohomero@hotmail.com,1936-08-18
2006,14133,,1935-05-18
2008,14140,,1932-11-23
2012,82049,biblio_marianomoreno@hotmail.com.ar,1980-01-01
2014,2000,bibliotecanazar@yahoo.com.ar,1936-05-01
2015,90105,,1935-05-05
2021,14035,bpjovita@jovitacoop.com.ar,1937-06-27
2022,6749,bpromulonaon@gmail.com,1939-01-14
2032,90084,,1927-04-17
2037,82042,crycuniondelnorte@gmail.com,1934-05-20
2038,82119,bibliotecapopular.almafuerte@gmail.com,1939-05-30
2040,6875,bbcamitre@yahoo.com.ar,1939-04-24
2045,14021,,1918-07-23
2063,6364,,1936-07-20
2068,6049,bibliochillar@yahoo.com.ar,1939-01-06
2069,6441,bibliotecapopularsanmartin@hotmail.com,1936-04-15
2073,6616,,1914-10-11
2081,14161,,1930-12-26
2082,6098,,1944-06-11
2084,86049,bibliotecarrojas@gmail.com,1938-11-16
2090,6658,bibbosco@hotmail.com,1972-07-28
2094,82084,bibpopfherrera@yahoo.com.ar,1928-12-09
2098,6441,bibliotecameridianov@hotmail.com,1929-04-16
2107,6847,,1939-09-29
2108,86161,,1917-12-07
2110,82070,,1942-02-19
2111,2000,centroproteccion@latinmail.com,1980-01-01
2114,62042,bibliotecapopularroca@gmail.com,1936-04-29
2115,6742,,1940-07-28
2122,42119,,1933-04-13
2123,82063,bibliobrown@hotmail.com,1939-10-30
2127,6441,bprepetto@gmail.com,1941-12-06
2128,62014,bibliopizzurnobeltran@gmail.com,1942-01-25
2130,90084,,1935-06-09
2131,50014,bp2131sarmiento@yahoo.com.ar,1935-04-28
2134,6448,bplaprida@yahoo.com.ar,1940-12-01
2135,6021,bpjimechita@live.com.ar,1940-06-01
2136,82007,,1935-04-26
2137,42007,bibliotecariglos@yahoo.com.ar,1980-01-01
2142,58084,bibliotecaphuecu@hotmail.com,1942-05-25
2148,14091,,1938-04-08
2151,6245,,1924-11-18
2152,70084,bibliotecajuanromulofernandez@hotmail.com,1940-08-16
2157,14021,,1942-10-03
2158,6651,,1930-01-22
2159,6070,,1919-10-05
2162,14042,,1938-09-11
2170,6014,barrerabp@hotmail.com,1942-11-30
2171,18112,bibliotecalainez@hotmail.com,1936-04-07
2177,2000,bibliotecapopularmarianoboedo@yahoo.com.ar,1980-01-01
2178,82056,biblioteca_carrizales@hotmail.com,1943-04-11
2182,82028,,1943-03-31
2185,22147,biblioteca113@yahoo.com.ar,1943-06-06
2187,82091,bibpopalberdi@yahoo.com.ar,1935-06-08
2188,50014,bibliotecadimarco@yahoo.com.ar,1940-12-08
2189,82014,biblbelgrano@gmail.com,1939-06-20
2191,6112,bbelgrano@yahoo.com.ar,1943-12-03
2197,14063,,1939-09-26
2198,22140,bcalynch50@yahoo.com.ar,1942-09-28
2203,14182,biblio_we@hotmail.com,1943-06-20
2207,82070,biblioteca.jbalberdi@hotmail.com,1943-11-13
2208,82056,biblioppizzurno@hotmail.com,1936-04-04
2209,6655,,1941-07-19
2225,6196,,1932-07-10
2233,2000,asocvecvilladelparque@hotmail.com,1929-01-01
2237,82084,,1942-11-07
2242,70028,bp_camilorojo@yahoo.com.ar,1944-11-12
2243,6560,biblioteca@cbmm.com.ar,1916-08-30
2252,86042,bpbelgrano2252_bandera@hotmail.com,1943-07-04
2254,82021,biblioteca_jmestrada@hotmail.com,1937-01-15
2256,82028,,1944-08-04
2257,14014,bibliotecatejeda@hotmail.com,1944-12-17
2259,42070,guatrachebpalmafuerte@gmail.com,1945-08-01
2260,90056,,1917-08-30
2262,86049,,1942-06-08
2264,6168,biblicast@yahoo.com.ar,1940-04-24
2265,14140,,1945-03-05
2266,30056,bibliotecalopezjordangchu@gmail.com,1943-11-14
2271,6441,cfloshornos@yahoo.com.ar,1933-09-11
2275,6840,bibitalar@hotmail.com,1944-01-02
2276,82042,,1945-09-02
2277,6581,,1980-01-01
2293,46056,,1946-04-17
2296,6035,bibpopularmitre@yahoo.com.ar,1932-03-01
2297,22084,bibciervopetiso@yahoo.com.ar,1945-04-01
2311,86035,,1945-08-03
2316,42035,biblomn@yahoo.com.ar,1946-09-17
2317,42021,biblo2317@gmail.com,1980-01-01
2318,6098,,1947-06-20
2321,14063,bibliotecacdb@yahoo.com,1918-01-01
2323,6441,bibliotecafameghino@hotmail.com,1945-01-01
2324,6560,bibliogiuffra@hotmail.com,1945-02-04
2330,14091,bp2330@bepe.ar,1946-12-09
2331,82063,bibmaestro@gmail.com,1947-11-23
2339,82042,bibliorivadavia@hotmail.com,1937-06-11
2341,6693,giseafrica@yahoo.com.ar,1946-06-29
2355,42133,bibliotecaingenieroluiggi@hotmail.com,1948-07-04
2356,90049,,1909-07-09
2360,14140,clubalmafuertelv970@gmail.com,1945-05-13
2365,10049,,1942-08-31
2366,6469,,1945-09-17
2371,6595,bibliotecasb@yahoo.com.ar,1948-04-25
2373,42154,bibpopataliva@yahoo.com.ar,1934-08-13
2384,82063,,1945-11-23
2387,42154,biblioteca_sv@yahoo.com.ar,1943-08-11
2401,6490,bibliolonghi@hotmail.com,1980-01-01
2405,6826,,1937-01-01
2406,14042,biblioteca.marianomoreno@villamaria.gob.ar,1942-12-19
2414,26042,,1943-03-12
2418,90070,bibliotecaluisabuffodeferro@yahoo.com.ar,1949-06-22
2419,18091,,1948-10-16
2421,82056,,1939-05-14
2424,14063,,1949-05-25
2426,14140,,1940-10-10
2428,6707,,1980-01-01
2436,6441,bibliojuanvucetich@gmail.com,1944-07-01
2438,6441,,1923-12-23
2444,82063,centro.espaniolbp.santafe@gmail.com,1943-12-08
2449,82084,biblarg@rosario.gov.ar,1910-09-07
2453,26098,clara_petachi@hotmail.com,1949-03-20
2456,86035,,1946-08-04
2457,42126,,1950-11-12
2472,82042,bibliomm@hotmail.com,1950-04-03
2473,6098,bibliotecaguiraldes@yahoo.com.ar,1949-02-02
2490,6098,,1943-06-06
2492,6098,,1980-01-01
2498,6441,,1947-09-21
2501,6385,bibpopmm_lostoldos@yahoo.com.ar,1939-05-07
2534,14119,bpsmo@yahoo.com.ar,1950-08-17
2543,6035,bjmarmol@yahoo.com.ar,1940-06-28
2546,6441,,1939-03-27
2549,22140,,1980-01-01
2551,26091,biblioteca2551@yahoo.com.ar,1911-07-16
2554,6665,,1951-08-11
2558,2000,asociacionalvear@yahoo.com.ar,1950-10-25
2561,54091,bibpopsarmiento@yahoo.com.ar,1946-09-09
2574,66049,,1944-09-24
2578,86049,,1940-08-24
2585,6441,bibliofameghino@yahoo.com.ar,1936-09-26
2595,18105,bp2595@gmail.com,1940-03-30
2596,30028,,1925-06-09
2597,94007,bibliotecaeduardoschmidt@hotmail.com.ar,1953-04-08
2601,82021,bibliotecadeangelica@hotmail.com.ar,1953-04-04
2603,62042,biblio5saltos@hotmail.com,1932-09-15
